MolecularWeight_Mean,ProteinGroups,Genes,ProteinDescriptions,ProteinNames,83-6,Control1,Control2,56-1,56-2,69-1,82-1,82-2,1-May,2-May,3-May,29-1,29-2,29-3,1-Nov,2-Nov,3-Nov,5-Nov,6-Nov,21-1,21-3,68-1,81-1,81-2,2-Mar,3-Mar,45-2,47-1,47-2,47-3,1-Dec,6-Dec,48-3,67-1,67-2
72644.77,A0A096MIX2,Ddx17,"DEAD (Asp-Glu-Ala-Asp) box polypeptide 17, isoform CRA_a",A0A096MIX2_RAT,6.701263613,5.188661617,6.322543804,5.887560013,5.504785963,5.591910562,5.562360359,6.225366051,4.117862605,4.782407557,4.326211097,4.39267604,5.387364858,4.977094745,5.864959386,5.536474445,4.367871635,4.203483484,5.608291748,4.810620167,4.680833135,5.485948729,5.442910297,5.402247964,4.838101976,4.669847898,5.775875883,5.663779852,5.5970118,6.231152886,5.828811533,5.529738655,5.602305861,5.938490003,6.191165005
53212.52,A0A096MJ11,Gsdmd,Gasdermin D,A0A096MJ11_RAT,0.653074011,2.172416037,0.420108473,2.163269328,1.818929855,2.039544066,1.904021362,1.752071864,1.518529126,0.357990521,0.34005905,1.720168287,0.44977261,1.450856954,0.396787143,1.59780193,1.843037452,0.254854663,0.449250407,2.220024251,0.439846629,0.640143377,1.570904711,1.901889457,0.471987326,2.117274998,1.672567938,0.426698606,2.316143997,1.980930286,0.508440552,0.440885376,0.439061221,2.170721167,2.618821097
106033.25,A0A096MJP9,Ddi2,DNA damage-inducible 1 homolog 2,A0A096MJP9_RAT,0.352409283,0.301568605,0.343055936,0.364048665,0.323542456,0.305885673,0.406053254,0.463682221,0.313520288,0.31482777,0.333596092,0.327118162,0.337705379,0.362060215,0.381926153,0.373484275,0.337356097,0.272711419,0.398317209,0.365093304,0.368388469,0.324668881,0.34339201,0.430437044,0.313064826,0.280719416,0.368828421,0.353240117,0.314670635,0.407862191,0.347923744,0.298713465,0.353178969,0.375325816,0.293565
49613.73,A0A096MJZ2,Tbl2,"RCG21429, isoform CRA_b",A0A096MJZ2_RAT,0.293192041,0.213604019,0.262389152,0.278586386,0.213839953,0.245276303,0.225900014,0.297019989,0.207145487,0.230158051,0.24709333,0.185291196,0.285748268,0.238245958,0.236371865,0.293860294,0.219770966,0.196523924,0.245866974,0.259973483,0.272377661,1.231968333,0.256142569,0.217242175,0.264579493,0.222019326,0.237999903,0.247752113,0.212541589,0.22995804,0.213095803,0.183788003,0.190502878,0.239498352,0.200222563
33975.23,A0A096MKH2,Vta1,Similar to RIKEN cDNA 1110059P08,A0A096MKH2_RAT,1.735395454,1.798991901,2.209845634,2.224333265,2.040827904,1.986837276,1.936604167,2.286837388,1.801141021,1.909217133,1.715895383,1.782580362,1.818045897,1.938596325,2.235085953,1.813610648,2.171230637,1.806494752,1.927812363,2.253040337,2.457036312,2.397505995,2.434693533,1.95601729,1.708350597,1.927982573,1.998756822,2.313554895,2.158224298,2.095338033,1.86951729,1.740587697,2.010208259,1.935470802,2.07659858
26212.0175,A0A096P6M7;P00763;W4VSR6;W4VSR7,LOC102554637;Prss2;LOC683849;Try10,Anionic trypsin-2-like;Anionic trypsin-2;RCG64545;RCG64520,A0A096P6M7_RAT;TRY2_RAT;W4VSR6_RAT;W4VSR7_RAT,30.81046312,46.50696004,48.66029097,66.54616494,65.2277205,56.41397499,49.13757427,42.02797699,39.93307518,41.75709906,36.31587641,44.79578077,31.56158118,29.12383612,32.49174512,29.42297263,39.91588426,38.77131272,31.3887552,33.59346569,67.70572686,63.71149113,45.70643971,48.98162564,19.20263382,51.57346048,35.06317232,42.03328198,51.56406311,29.79659534,42.9551817,36.07504205,42.97933907,18.40527027,40.02402878
46477.4,A0A0G2JSK1,Serpina3c,RCG20603,A0A0G2JSK1_RAT,6.948385106,2.445630045,3.094777022,1.975304452,2.918791509,4.254241087,2.344297234,3.508527921,6.841738368,7.375467982,10.56811665,4.401631434,5.009237765,4.075451307,4.016250278,5.855317343,5.019452064,11.01465256,3.386166625,1.41248099,2.72178015,3.167255749,3.84148737,3.110554714,5.607921623,4.43347478,6.135653881,4.594549538,3.904199625,5.133073262,4.615950969,5.685467945,4.861966952,2.817515717,3.190484347
25296.65,A0A0G2JSL0;P28073,LOC100360846;Psmb6,Proteasome subunit beta type;Proteasome subunit beta type-6,A0A0G2JSL0_RAT;PSB6_RAT,10.22476565,9.886154849,10.40577177,11.33564958,9.899228111,10.69727413,10.48343959,12.25339454,9.891778517,9.783778753,9.771279947,10.45667918,10.84706352,10.90819551,11.13417651,10.60579615,9.028791204,10.22022938,11.02036542,10.57196218,10.4904065,8.000158807,11.14183266,10.37529909,9.62340774,9.800077986,11.47596279,10.3316352,10.22383625,11.26572032,10.48980262,9.925273971,9.881296018,10.68681768,10.12344642
34820.22,A0A0G2JSV3;P60892,LOC314140;Prps1,Ribose-phosphate pyrophosphokinase I -like;Ribose-phosphate pyrophosphokinase 1,A0A0G2JSV3_RAT;PRPS1_RAT,1.07336033,1.261775927,1.313785025,1.323139431,1.518684245,1.331072537,1.336728163,1.53522641,1.363629928,1.215899165,1.267270334,1.755284902,1.462625166,1.380264055,1.765002753,1.311550337,1.234407395,1.505127591,1.417072124,1.114788301,1.136833802,1.225868454,1.407151312,1.304560702,1.3397979,1.105998322,1.363663226,1.367383138,1.355194448,1.510930451,1.468068775,1.397671366,1.513898414,1.248683069,1.381115789
15284.52,A0A0G2JSV6,Hba-a2,Globin c2,A0A0G2JSV6_RAT,1781.753864,1092.674681,1610.800821,1215.746633,2080.400556,1954.046923,1393.620281,1862.953252,3252.456861,2187.937555,2829.610096,4883.007967,2052.661119,2095.391453,2249.652051,1833.261184,1830.540018,4439.085181,1909.673333,1691.04218,2187.43044,2098.375296,2341.228941,1790.414271,2208.183864,1294.737867,2235.563034,1956.791373,2340.985358,2466.754463,2167.271349,2768.168534,2720.248943,2232.106165,2468.908968
